source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label,title_label,title_score,content_label,content_score,description_label,description_score,title_desc_label,title_desc_score,source_country
Fortune,Jane Thier,2023-09-12,How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker,"After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.","Teslas Elon Musk and Googles Larry Page dont talk anymore. Thats what it says, definitively, in Walter Isaacsons biography of Musk, published Tuesday. Musk detailed his falling out with Google co-fou [+4842 chars]","How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.",yes,yes,neutral,negative,0.7631450295448303,neutral,0.6580064296722412,neutral,0.500911295413971,negative,0.5816494822502136,US
CNN,Paul Glader,2023-09-12,Four takeaways from Walter Isaacson's biography of Elon Musk,"""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.","Youll never be successful, Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education. 
Thats one of the sc [+8393 chars]","Four takeaways from Walter Isaacson's biography of Elon Musk ""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.",no,,,neutral,0.9254870414733888,neutral,0.8949710130691528,neutral,0.6470727324485779,neutral,0.8528189063072205,US
Business Insider,Grace Dean,2023-09-12,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.","Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.","nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink  [+3391 chars]","After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor. Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.",no,,,neutral,0.9144275188446044,neutral,0.8138390183448792,neutral,0.7935016751289368,neutral,0.8759555816650391,US
Financial Post,Bloomberg News,2023-09-12,"Tesla gets $80-billion boost from analyst call, but not everyone buys it",Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.,"Some investors find the $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation 
Author of the article:
Tesla cars parked in a lot at the Tesla Inc. factory in Fre [+7144 chars]","Tesla gets $80-billion boost from analyst call, but not everyone buys it Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.",yes,,,positive,0.7719053030014038,negative,0.7942079901695251,neutral,0.5014608502388,neutral,0.5674511790275574,Canada
CNN,"Catherine Thorbecke, CNN",2023-09-12,Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value,"Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.","Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.
Shares of Tesla jumped more than 6% during ear [+1678 chars]","Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.",yes,,,positive,0.6485106348991394,positive,0.9409592151641846,positive,0.9286248087882996,positive,0.9078001379966736,US
Fortune,Paolo Confino,2023-09-12,One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach,"Walter Isaacsons new tome on the worlds richest man reveals his love for Polytopia and his credo to ""play life like a game.""","Elon Musks love of video games is well documented. The night he decided to buy Twitter, the social media platform now known as X, he played video games until 5:30 a.m., his biographer Walter Isaacson [+9133 chars]","One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach Walter Isaacsons new tome on the worlds richest man reveals his love for Polytopia and his credo to ""play life like a game.""",no,,,neutral,0.8559306263923645,neutral,0.9346166849136353,neutral,0.8596543073654175,neutral,0.9146316051483154,US
ABC News (AU),Elizabeth Byrne,2023-09-12,Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped,Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,"Lawyers for a man accused of stealing a Tesla car owned by tennis star Nick Kyrgios have asked the ACT Magistrates Court to abandon the case, because police have taken too long to produce the full br [+2002 chars]",Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,no,,,negative,0.6434407234191895,negative,0.9005236029624939,negative,0.9207957983016968,negative,0.9356860518455504,Australia
Fortune,Paige Hagy,2023-09-12,Elon Musk lives life like hes playing a video gamefrom demon mode to gleaning life lessons from Polytopia,"""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.","Elon Musk had just finished playing a video game with Grimes when he made his offer to buy Twitter in April 2022. He and the musician, with whom he has three children, had stayed up until 5 a.m. play [+4623 chars]","Elon Musk lives life like hes playing a video gamefrom demon mode to gleaning life lessons from Polytopia ""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.",no,,,neutral,0.9341707825660706,neutral,0.9354196786880492,neutral,0.8866493105888367,neutral,0.9163147807121276,US
Fox News,"Brian Flood, Nikolas Lanum",2023-09-12,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of [+4272 chars]","Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake' Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk",no,no,neutral,negative,0.7398579120635986,negative,0.6281923651695251,negative,0.7734371423721313,negative,0.6067655682563782,US
Business Insider,Sonam Sheth,2023-09-12,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book. [+1547 chars]","Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.",no,no,neutral,neutral,0.897853434085846,neutral,0.9229398965835572,neutral,0.6916905045509338,neutral,0.844500720500946,US
Business Insider,ssheth@businessinsider.com (Sonam Sheth),2023-09-12,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author  [+938 chars]","Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.",yes,,,neutral,0.9181478023529052,neutral,0.9325352907180786,neutral,0.9242417216300964,neutral,0.9285563826560974,US
Newsweek,Tom Norton,2023-09-12,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh [+4218 chars]",Did Elon Musk Turn Off Starlink for Ukraine? What We Know Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,no,no,neutral,neutral,0.9321566224098206,neutral,0.7312638163566589,neutral,0.8299420475959778,neutral,0.887954592704773,US
USA Today,"Jessica Guynn, USA TODAY",2023-09-12,Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography,"From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.","Walter Isaacsons new biography, Elon Musk, that reveals new details about the private and professional lives of the worlds richest person, hit stores Tuesday.
Isaacson, 71, the bestselling author of [+10862 chars]","Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.",no,no,neutral,neutral,0.9375524520874025,neutral,0.8233760595321655,neutral,0.8912345767021179,neutral,0.926668345928192,US
TechCrunch,Rebecca Bellan,2023-09-12,Tesla robotaxi concept looks like a two-seater Cybertruck,"An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...","An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.
The two-door, two-seater, ""Cybertruck-like"" compact veh [+4724 chars]","Tesla robotaxi concept looks like a two-seater Cybertruck An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...",yes,yes,neutral,neutral,0.9229718446731568,neutral,0.9305942058563232,neutral,0.9167619943618774,neutral,0.9202674627304076,US
Fortune,Irina Ivanova,2023-09-12,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families [+3417 chars]","Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.",no,no,neutral,neutral,0.8919835686683655,neutral,0.9254893660545348,neutral,0.9020674228668212,neutral,0.7524418830871582,US
Business Insider,Kwan Wei Kevin Tan,2023-09-12,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many  [+1825 chars]","Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once' ""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.",no,no,neutral,neutral,0.7159315943717957,neutral,0.8782625794410706,neutral,0.8941041231155396,neutral,0.85165935754776,US
Fortune,Christiaan Hetzner,2023-09-12,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it?,Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,"Teslas gonzo market cap is so enormous that its daily swings in value often exceed the sum total of most major automakers. On slow days it might only be the equivalent of Volvo or [hotlink]Nissan,[/h [+3926 chars]",Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it? Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,yes,yes,positive,neutral,0.9238158464431764,neutral,0.8809127807617188,positive,0.9360656142234802,positive,0.5452249050140381,US
The Jerusalem Post,By REUTERS,2023-09-12,Putin hails Elon Musk as an 'outstanding person' and businessman,The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,"Russian President Vladimir Putin on Tuesday hailed South African-born businessman Elon Musk as an ""outstanding person"" and businessman whose SpaceX company had become a major player in the space tran [+1562 chars]",Putin hails Elon Musk as an 'outstanding person' and businessman The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,no,no,neutral,positive,0.6806164383888245,positive,0.8324558734893799,positive,0.8865401744842529,positive,0.7652321457862854,Israel
Next Big Future,Brian Wang,2023-09-12,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a  [+7361 chars],Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,yes,yes,negative,negative,0.6646159887313843,neutral,0.9068943858146667,neutral,0.8788170218467712,neutral,0.906563401222229,US
Fortune,Rachyl Jones,2023-09-12,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co [+5076 chars]","What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter. Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.",no,no,neutral,neutral,0.9371562004089355,neutral,0.942562997341156,neutral,0.8035590648651123,neutral,0.8997768759727478,US
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive""  [+4780 chars]","Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson ""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""",no,no,neutral,neutral,0.5616244673728943,neutral,0.5445547699928284,neutral,0.7825674414634705,neutral,0.5228249430656433,US
Breitbart News,"Allum Bokhari, Allum Bokhari",2023-09-13,Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter,"Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted","Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organiz [+3028 chars]","Elon Musk: Left-Wing ADL Was 'Instrumental' In Blacklisting Donald Trump from Twitter Twitter/X owner Elon Musk, embroiled in an ongoing war of words with the far-left Anti-Defamation League (ADL), which has pushed for censorship of conservatives on all platforms, has said the organization was ""instrumental"" in getting Donald Trump blacklisted",no,no,neutral,neutral,0.4920758008956909,negative,0.7888144850730896,negative,0.7194849848747253,negative,0.5942316055297852,US
The Verge,Casey Newton,2023-09-13,Nine wild details from the new Elon Musk biography,"Walter Isaacsons Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musks favorite mobile game.","Nine wild details from the new Elon Musk biography
Nine wild details from the new Elon Musk biography
 / Walter Isaacson brings new tales of Jack Dorsey, that Sergey Brin selfie, and more.
ByCasey [+10740 chars]","Nine wild details from the new Elon Musk biography Walter Isaacsons Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musks favorite mobile game.",no,,,neutral,0.9287318587303162,neutral,0.9343966841697692,neutral,0.8873529434204102,neutral,0.917493462562561,US
The Verge,Umar Shakir,2023-09-13,"Tesla unveils Powerwall 3, this time with a built-in solar inverter",Teslas Powerwall 3 has a built-in solar inverter for easier home emergency and solar power installs and is coming in 2024.,"Tesla unveils Powerwall 3, this time with a built-in solar inverter
Tesla unveils Powerwall 3, this time with a built-in solar inverter
 / Teslas latest home battery backup solution, Powerwall 3, i [+2635 chars]","Tesla unveils Powerwall 3, this time with a built-in solar inverter Teslas Powerwall 3 has a built-in solar inverter for easier home emergency and solar power installs and is coming in 2024.",yes,,,neutral,0.7939691543579102,neutral,0.9043768644332886,neutral,0.8741145133972168,neutral,0.8518401980400085,US
